location,latitude,longitude,display_name
"Abu Dhabi, Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,"أبو ظبي, أبوظبي, أبو ظبي, الإمارات العربية المتحدة"
"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,"أبو ظبي, أبوظبي, أبو ظبي, الإمارات العربية المتحدة"
"Adelaide, South Australia, Australia",-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
"Albany, New York, USA",42.6511674,-73.754968,"City of Albany, Albany County, New York, United States of America"
"Albuquerque, New Mexico, USA",35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States of America"
"Anaheim, California, USA",33.8347516,-117.911732,"Anaheim, Orange County, California, United States of America"
"Atlanta, Georgia, USA",33.7544657,-84.3898151,"Atlanta, Fulton County, Georgia, United States of America"
"Atlantic City, New Jersey, USA",39.3642852,-74.4229351,"Atlantic City, Atlantic County, New Jersey, United States of America"
"Auburn Hills, Michigan, USA",42.6875323,-83.2341028,"Auburn Hills, Oakland County, Michigan, 48326, United States of America"
"Auckland, New Zealand",-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
"Augusta, Georgia, USA",33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States of America"
"Austin, Texas, USA",30.2711286,-97.7436995,"Austin, Travis County, Texas, United States of America"
"Baku, Azerbaijan",40.3755885,49.8328009,"Bakı İnzibati Ərazisi, Azərbaycan"
"Baltimore, Maryland, USA",39.2908816,-76.610759,"Baltimore, Maryland, United States of America"
"Bangor, Maine, USA",44.8016255,-68.7713289,"Bangor, Penobscot County, Maine, 04401, United States of America"
"Barueri, Sao Paulo, Brazil",-23.5112184,-46.8764612,"Barueri, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
"Bay St. Louis, Mississippi, USA",30.3105666,-89.3275482,"Bay St. Louis, Hancock County, Mississippi, United States of America"
"Beijing, China",40.190632,116.412144,"北京市, 中国"
"Belem, Para, Brazil",-1.45056,-48.4682453,"Belém, Região Geográfica Imediata de Belém, Região Geográfica Intermediária de Belém, Pará, Região Norte, Brasil"
"Belfast, Northern Ireland, United Kingdom",54.5975805,-5.9277097,"Belfast, Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom"
"Belo Horizonte, Minas Gerais, Brazil",-19.9227318,-43.9450948,"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
"Berlin, Berlin, Germany",52.503379,13.3386522,"Berlin, Tauentzienstraße, City West, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10789, Deutschland"
"Berlin, Germany",52.5173885,13.3951309,"Berlin, Deutschland"
"Birmingham, Alabama, USA",33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States of America"
"Birmingham, England, United Kingdom",52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
"Boise, Idaho, USA",43.6166163,-116.200886,"Boise, Ada County, Idaho, United States of America"
"Bossier City, Louisiana, USA",32.515887,-93.7336536,"Bossier City, Bossier Parish, Louisiana, United States of America"
"Boston, Massachusetts, USA",42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States of America"
"Brasilia, Distrito Federal, Brazil",-15.7939869,-47.8828,"Brasília, Plano Piloto, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"Brisbane, Queensland, Australia",-27.4689623,153.0235009,"City of Brisbane, Queensland, Australia"
"Brooklyn, New York, USA",40.6526006,-73.9497211,"Brooklyn, Kings County, City of New York, New York, United States of America"
"Broomfield, Colorado, USA",39.9403995,-105.05208,"Broomfield, Colorado, United States of America"
"Buenos Aires, Buenos Aires, Argentina",-34.5121516,-58.5248182,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, Munro, Vicente López, Partido de Vicente López, Buenos Aires, B1605BNA, Argentina"
"Buffalo, New York, USA",42.8867166,-78.8783922,"Buffalo, Erie County, New York, United States of America"
"Busan, South Korea",35.1799528,129.0752365,"부산광역시, 대한민국"
"Calgary, Alberta, Canada",51.0456064,-114.057541,"Calgary, Alberta, Canada"
"Casper, Wyoming, USA",42.8501191,-106.325138,"Casper, Natrona County, Wyoming, United States of America"
"Cedar Rapids, Iowa, USA",41.9758872,-91.6704053,"Cedar Rapids, Linn County, Iowa, United States of America"
"Charlotte, North Carolina, USA",35.2272086,-80.8430827,"Charlotte, Mecklenburg County, North Carolina, United States of America"
"Chiba, Japan",35.549399,140.2647303,"千葉県, 日本"
"Chicago, Illinois, USA",41.8755616,-87.6244212,"Chicago, South Chicago Township, Cook County, Illinois, United States of America"
"Cincinnati, Ohio, USA",39.1014537,-84.5124602,"Cincinnati, Hamilton County, Ohio, United States of America"
"Cleveland, Ohio, USA",41.4996574,-81.6936772,"Cleveland, Cuyahoga County, Ohio, United States of America"
"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974,"Köln, Nordrhein-Westfalen, Deutschland"
"Columbus, Ohio, USA",39.9622601,-83.0007065,"Columbus, Franklin County, Ohio, United States of America"
"Copenhagen, Denmark",55.6867243,12.5700724,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
"Curitiba, Parana, Brazil",-25.4944375,-49.284271,"Curitiba, Região Geográfica Imediata de Curitiba, Região Metropolitana de Curitiba, Região Geográfica Intermediária de Curitiba, Paraná, Região Sul, Brasil"
"Dallas, Texas, USA",32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States of America"
"Denver, Colorado, USA",39.7392364,-104.984862,"Denver, Colorado, United States of America"
"Des Moines, Iowa, USA",41.5868654,-93.6249494,"Des Moines, Polk County, Iowa, United States of America"
"Detroit, Michigan, USA",42.3315509,-83.0466403,"Detroit, Wayne County, Michigan, United States of America"
"Dothan, Alabama, USA",31.2237285,-85.3934375,"Dothan, Houston County, Alabama, United States of America"
"Dublin, Leinster, Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
"Duluth, Georgia, USA",34.0028569,-84.1441046,"Duluth, Gwinnett County, Georgia, 30095, United States of America"
"East Rutherford, New Jersey, USA",40.833989,-74.0970865,"East Rutherford, Bergen County, New Jersey, 07073, United States of America"
"Edmonton, Alberta, Canada",53.5462055,-113.491241,"Edmonton, Alberta, Canada"
"Elmont, New York, USA",40.7053335,-73.7078294,"Elmont, Town of Hempstead, Nassau County, New York, 11003, United States of America"
"Fairfax, Virginia, USA",38.8462236,-77.3063733,"Fairfax, Virginia, 20030, United States of America"
"Fayetteville, North Carolina, USA",35.0525759,-78.878292,"Fayetteville, Cumberland County, North Carolina, United States of America"
"Fort Campbell, Kentucky, USA",36.6313383,-87.6156884,"Fort Campbell, Montgomery County, Middle Tennessee, Tennessee, 42254, United States of America"
"Fortaleza, Ceara, Brazil",-3.7304512,-38.5217989,"Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, Brasil"
"Fresno, California, USA",36.7394421,-119.78483,"Fresno, Fresno County, California, United States of America"
"Gdansk, Poland",54.4288032,18.798327,"Gdańsk, Polska"
"Glasgow, Scotland, United Kingdom",55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AR, United Kingdom"
"Glendale, Arizona, USA",33.5386858,-112.185994,"Glendale, Maricopa County, Arizona, United States of America"
"Goiania, Goias, Brazil",-16.680882,-49.2532691,"Goiânia, Região Geográfica Imediata de Goiânia, Região Geográfica Intermediária de Goiânia, Goiás, Região Centro-Oeste, Brasil"
"Gold Coast, Queensland, Australia",-28.0023731,153.4145987,"Gold Coast City, Queensland, Australia"
"Greenville, South Carolina, USA",34.851354,-82.3984882,"Greenville, Greenville County, South Carolina, United States of America"
"Halifax, Nova Scotia, Canada",44.648618,-63.5859487,"Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada"
"Hamburg, Hamburg, Germany",53.5909051,9.9753758,"Universität Hamburg - Institut für Bewegungswissenschaften, Eimsbüttel, Hamburg, 20259, Deutschland"
"Hidalgo, Texas, USA",26.3530256,-98.216445,"Hidalgo County, Texas, United States of America"
"Hollywood, Florida, USA",26.0112014,-80.1494901,"Hollywood, Broward County, Florida, United States of America"
"Houston, Texas, USA",29.7589382,-95.3676974,"Houston, Harris County, Texas, United States of America"
"Indianapolis, Indiana, USA",39.7683331,-86.1583502,"Indianapolis, Marion County, Indiana, United States of America"
"Inglewood, California, USA",33.9562003,-118.353132,"Inglewood, Los Angeles County, California, United States of America"
"Jacksonville, Florida, USA",30.3321838,-81.655651,"Jacksonville, Duval County, Florida, United States of America"
"Jaragua do Sul, Santa Catarina, Brazil",-26.4897432,-49.0778063,"Jaraguá do Sul, Região Geográfica Imediata de Joinville, Região Geográfica Intermediária de Joinville, Santa Catarina, Região Sul, Brasil"
"Kallang, Singapore",1.310759,103.866262,"Kallang, Central, Singapore"
"Kansas City, Missouri, USA",39.100105,-94.5781416,"Kansas City, Jackson County, Missouri, United States of America"
"Killeen, Texas, USA",31.1171441,-97.727796,"Killeen, Bell County, Texas, United States of America"
"Krakow, Poland",50.0619474,19.9368564,"Kraków, województwo małopolskie, Polska"
"Lake Charles, Louisiana, USA",30.2305095,-93.2169807,"Lake Charles, Calcasieu Parish, Louisiana, United States of America"
"Las Vegas, Nevada, USA",36.1674263,-115.1484131,"Las Vegas, Clark County, Nevada, United States of America"
"Ledyard, Connecticut, USA",41.4386053,-72.0175193,"Ledyard, Southeastern Connecticut Planning Region, Connecticut, United States of America"
"Lincoln, Nebraska, USA",40.8088861,-96.7077751,"Lincoln, Lancaster County, Nebraska, United States of America"
"Liverpool, England, United Kingdom",53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom"
"London, England, United Kingdom",51.4893335,-0.1440551,"London, Greater London, England, United Kingdom"
"Los Angeles, California, USA",34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States of America"
"Louisville, Kentucky, USA",38.2542376,-85.759407,"Louisville, Jefferson County, Kentucky, United States of America"
"Macau, China",22.1757605,113.5514142,"澳門 Macau, 中国"
"Manchester, England, United Kingdom",53.4794892,-2.2451148,"Manchester, Greater Manchester, England, United Kingdom"
"Manila, Philippines",14.5904492,120.9803621,"Manila, Capital District, Metro Manila, Philippines"
"Melbourne, Victoria, Australia",-37.8142454,144.9631732,"Melbourne, City of Melbourne, Victoria, Australia"
"Memphis, Tennessee, USA",35.1460249,-90.0517638,"Memphis, Shelby County, West Tennessee, Tennessee, United States of America"
"Mexico City, Distrito Federal, Mexico",19.4326296,-99.1331785,"Ciudad de México, Cuauhtémoc, Ciudad de México, México"
"Miami, Florida, USA",25.7741566,-80.1935973,"Miami, Miami-Dade County, Florida, United States of America"
"Milwaukee, Wisconsin, USA",43.0386475,-87.9090751,"Milwaukee, Milwaukee County, Wisconsin, United States of America"
"Minneapolis, Minnesota, USA",44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States of America"
"Mobile, Alabama, USA",30.6913462,-88.0437509,"Mobile, Mobile County, Alabama, United States of America"
"Moncton, New Brunswick, Canada",46.0985679,-64.8004265,"City of Moncton, Westmorland County, New Brunswick / Nouveau-Brunswick, Canada"
"Monterrey, Nuevo Leon, Mexico",25.6802019,-100.315258,"Monterrey, Nuevo León, 64010, México"
"Montevideo, Uruguay",-34.9058916,-56.1913095,"Montevideo, Uruguay"
"Montreal, Quebec, Canada",45.5031824,-73.5698065,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
"Moscow, Moscow, Russia",55.7505412,37.6174782,"Москва, Центральный федеральный округ, Россия"
"Nashville, Tennessee, USA",36.1622767,-86.7742984,"Nashville, Davidson County, Middle Tennessee, Tennessee, United States of America"
"Natal, Rio Grande do Norte, Brazil",-5.805398,-35.2080905,"Natal, Região Geográfica Imediata de Natal, Região Geográfica Intermediária de Natal, Rio Grande do Norte, Região Nordeste, Brasil"
"New Orleans, Louisiana, USA",29.9559145,-90.0730259,"New Orleans, Orleans Parish, Louisiana, United States of America"
"New York City, New York, USA",40.7127281,-74.0060152,"City of New York, New York, United States of America"
"Newark, New Jersey, USA",40.735657,-74.1723667,"Newark, Essex County, New Jersey, United States of America"
"Newcastle, England, United Kingdom",54.9738474,-1.6131572,"Newcastle upon Tyne, Tyne and Wear, North East, England, United Kingdom"
"Norfolk, Virginia, USA",36.8493695,-76.2899539,"Norfolk, Virginia, United States of America"
"Nottingham, England, United Kingdom",52.9534193,-1.1496461,"City of Nottingham, Nottinghamshire, East Midlands, England, United Kingdom"
"Oakland, California, USA",37.8044557,-122.271356,"Oakland, Alameda County, California, United States of America"
"Oberhausen, North Rhine-Westphalia, Germany",51.4696137,6.8514435,"Oberhausen, Nordrhein-Westfalen, Deutschland"
